,name,clock tower,darshanlal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,asley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,ranipokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university/gehu,hathibadkala,garhi cant,vijay coloney,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna coloney,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikasnagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
69,harbatpur chowk,23.6,23.723,22.69,21.537,22.686,23.907,22.252,25.713,21.592,22.811,23.551,23.647,45.398,38.662,37.594,22.807,28.714,27.703,29.031,27.325,26.052,22.807,29.358,27.769,23.99,27.267,23.297,22.679,25.51,23.678,22.274,23.219,22.889,23.708,23.699,20.957,21.339,22.832,22.832,22.832,23.822,25.092,26.751,23.106,23.304,23.547,23.77,24.485,25.75,23.647,35.35,9.09,17.05,19.332,18.894,24.145,25.974,25.337,25.287,26.884,23.838,24.589,,24.485,24.145,24.944,17.654,3.851,23.659,0.0,5.58,0.0,5.367,15.995,14.863,16.178,18.534,19.761,2.413,23.723,24.003,23.327,9.895,12.831,16.01,23.723
70,langa road,24.472,24.553,23.322,21.137,21.932,24.879,22.781,24.914,21.502,22.631,24.084,23.507,44.795,37.377,36.53,23.557,28.865,27.853,28.98,27.444,25.872,23.557,30.068,28.377,24.498,27.97,25.219,21.743,25.643,23.765,22.459,23.743,23.433,23.986,24.352,21.698,22.513,23.74,23.74,23.74,24.566,27.364,28.591,23.494,23.749,24.024,24.29,25.412,26.115,23.507,34.918,13.768,16.508,19.337,19.004,24.784,26.329,27.615,25.818,29.144,24.591,25.818,,25.412,24.784,25.444,17.818,7.54,24.438,5.58,0.0,5.58,7.064,16.639,15.854,16.925,19.275,20.415,5.684,24.553,24.62,23.996,10.448,15.624,16.657,24.553
71,shaspur,23.6,23.723,22.69,21.537,22.686,23.907,22.252,25.713,21.592,22.811,23.551,23.647,45.398,38.662,37.594,22.807,28.714,27.703,29.031,27.325,26.052,22.807,29.358,27.769,23.99,27.267,23.297,22.679,25.51,23.678,22.274,23.219,22.889,23.708,23.699,20.957,21.339,22.832,22.832,22.832,23.822,25.092,26.751,23.106,23.304,23.547,23.77,24.485,25.75,23.647,35.35,9.09,17.05,19.332,18.894,24.145,25.974,25.337,25.287,26.884,23.838,24.589,,24.485,24.145,24.944,17.654,3.851,23.659,0.0,5.58,0.0,5.367,15.995,14.863,16.178,18.534,19.761,2.413,23.723,24.003,23.327,9.895,12.831,16.01,23.723
72,selaqui,18.384,18.497,17.413,16.174,17.347,18.721,16.953,20.369,16.226,17.444,18.258,18.282,40.031,33.351,32.256,17.556,23.379,22.366,23.677,21.983,20.688,17.556,24.124,22.507,18.695,22.024,18.498,17.364,20.166,18.326,16.928,17.923,17.595,18.376,18.431,15.694,16.201,17.621,17.621,17.621,18.575,20.508,21.927,17.787,17.995,18.244,18.476,19.289,20.437,18.282,29.984,13.698,11.716,13.967,13.533,18.876,20.66,20.757,20.0,22.3,18.593,19.49,,19.289,18.876,19.65,22.84,2.444,18.42,5.367,7.064,5.367,0.0,10.678,9.608,10.881,13.255,14.473,7.683,18.497,18.729,18.061,4.529,8.569,10.694,18.497
73,sudhowala,7.838,7.926,6.759,6.162,7.713,8.24,6.278,10.492,5.836,7.069,7.586,7.836,29.559,23.477,22.193,6.945,12.722,11.714,13.078,11.34,10.199,6.945,13.506,11.857,8.02,11.401,9.281,8.034,9.532,7.733,6.315,7.249,6.923,7.716,7.785,5.077,5.955,7.102,7.102,7.102,7.963,11.791,12.363,7.112,7.316,7.567,7.803,8.774,9.759,7.836,19.5,23.32,3.547,3.673,3.153,8.227,9.983,12.03,9.331,13.422,7.984,9.225,,8.774,8.227,8.977,33.505,12.388,7.823,15.995,16.639,15.995,10.678,0.0,1.394,0.388,2.638,3.816,18.352,7.926,8.074,7.419,6.297,6.527,0.018,7.926
74,nanda ki chowki,8.778,8.889,7.828,7.553,9.106,9.128,7.404,11.879,7.191,8.419,8.694,9.165,30.836,24.849,23.55,7.951,13.919,12.919,14.324,12.557,11.503,7.951,14.517,12.909,9.136,12.418,9.584,9.419,10.764,9.005,7.583,8.365,8.034,8.926,8.837,6.095,6.67,8.018,8.018,8.018,8.969,11.977,12.834,8.289,8.466,8.7,8.915,9.689,10.913,9.165,20.783,22.0,4.644,5.059,4.535,9.282,11.139,12.223,10.426,13.68,8.987,9.978,,9.689,9.282,10.086,32.445,11.185,8.812,14.863,15.854,14.863,9.608,1.394,0.0,1.402,3.675,4.908,17.242,8.889,9.141,8.465,5.41,5.201,1.4,8.889
75,premnagar,7.571,7.666,6.533,6.193,7.781,7.959,6.075,10.505,5.793,7.018,7.377,7.762,29.445,23.455,22.149,6.697,12.559,11.554,12.943,11.187,10.103,6.697,13.266,11.63,7.815,11.162,8.907,8.134,9.387,7.613,6.191,7.044,6.715,7.557,7.555,4.829,5.63,6.826,6.826,6.826,7.717,11.41,12.008,6.935,7.126,7.369,7.596,8.501,9.573,7.762,19.389,23.4,3.857,3.692,3.162,7.998,9.798,11.649,9.119,13.047,7.737,8.913,,8.501,7.998,8.77,33.718,12.538,7.571,16.178,16.925,16.178,10.881,0.388,1.402,0.0,2.382,3.591,18.545,7.666,7.85,7.186,6.547,6.387,0.372,7.666
76,panditwari,5.2,5.289,4.159,4.788,6.484,5.607,3.73,8.842,4.022,5.153,5.019,5.777,27.235,21.547,20.165,4.316,10.26,9.266,10.705,8.914,8.001,4.316,10.884,9.252,5.46,8.78,7.133,7.005,7.142,5.458,4.055,4.69,4.358,5.291,5.177,2.447,3.447,4.466,4.466,4.466,5.335,9.732,9.968,4.632,4.796,5.026,5.239,6.137,7.241,5.777,17.201,25.572,4.626,2.566,2.145,5.621,7.467,9.957,6.753,11.246,5.355,6.639,,6.137,5.621,6.411,36.094,14.859,5.19,18.534,19.275,18.534,13.255,2.638,3.675,2.382,0.0,1.235,20.908,5.289,5.475,4.806,8.925,7.932,2.621,5.289
77,vasant vihar,4.073,4.142,2.944,4.11,5.789,4.522,2.496,7.886,3.142,4.153,3.789,4.689,26.014,20.427,19.018,3.142,9.026,8.034,9.483,7.685,6.833,3.142,9.69,8.042,4.229,7.585,6.649,6.389,5.922,4.283,2.911,3.458,3.128,4.069,3.969,1.293,2.716,3.375,3.375,3.375,4.154,9.266,9.202,3.4,3.561,3.792,4.009,5.021,6.006,4.689,15.988,26.793,5.166,2.42,2.225,4.411,6.232,9.475,5.528,10.664,4.178,5.666,,5.021,4.411,5.182,37.309,16.093,4.023,19.761,20.415,19.761,14.473,3.816,4.908,3.591,1.235,0.0,22.133,4.142,4.26,3.603,10.113,9.039,3.8,4.142
78,selaqui chowk,25.993,26.114,25.067,23.798,24.897,26.306,24.62,27.928,23.894,25.106,25.921,25.95,47.676,40.82,39.791,25.192,31.061,30.048,31.357,29.666,28.357,25.192,31.748,30.151,26.36,29.655,25.705,24.859,27.849,26.007,24.61,25.588,25.259,26.057,26.079,23.338,23.743,25.226,25.226,25.226,26.208,27.481,29.159,25.464,25.667,25.913,26.141,26.882,28.111,25.95,37.641,8.087,19.263,21.637,21.209,26.524,28.335,27.725,27.66,29.271,26.224,26.998,,26.882,26.524,27.314,15.244,6.259,26.047,2.413,5.684,2.413,7.683,18.352,17.242,18.545,20.908,22.133,0.0,26.114,26.381,25.707,12.186,15.214,18.367,26.114
79,baliwala chowk,0.212,0.0,1.419,5.746,6.835,0.676,2.067,7.31,4.582,4.475,1.324,4.193,22.675,18.064,16.476,1.022,5.679,4.842,6.442,4.632,4.895,1.022,5.635,4.092,1.411,3.55,4.886,7.579,3.432,3.219,3.233,1.469,1.565,2.404,0.778,2.855,2.655,0.923,0.923,0.923,0.378,7.094,5.986,2.069,1.762,1.565,1.35,0.923,2.765,4.193,12.862,30.35,8.926,5.807,5.919,0.898,2.955,7.226,1.953,7.96,0.345,2.092,,0.923,0.898,1.809,41.331,19.985,0.241,23.723,24.553,23.723,18.497,7.926,8.889,7.666,5.289,4.142,26.114,0.0,0.946,0.843,14.212,12.157,7.909,0.0
80,bahuwala raja road,1.148,0.946,1.316,5.122,6.065,1.565,1.846,6.376,4.024,3.72,0.617,3.336,22.079,17.241,15.678,1.272,5.019,4.113,5.694,3.857,3.958,1.272,5.449,3.783,0.484,3.349,5.829,6.807,2.513,2.359,2.669,0.927,1.2,1.543,0.327,3.05,3.351,1.625,1.625,1.625,0.569,7.995,6.734,1.415,1.083,0.806,0.509,1.52,1.988,3.336,12.182,30.827,8.686,5.556,5.75,0.182,2.201,8.119,1.306,8.785,0.602,2.894,,1.52,0.182,1.028,41.567,20.306,0.752,24.003,24.62,24.003,18.729,8.074,9.141,7.85,5.475,4.26,26.381,0.946,0.0,0.693,14.368,12.723,8.058,0.946
81,raja road,0.952,0.843,0.679,4.904,6.013,1.508,1.293,6.651,3.742,3.655,0.604,3.432,22.766,17.849,16.304,0.591,5.703,4.784,6.354,4.512,4.43,0.591,6.088,4.446,0.912,3.983,5.559,6.756,3.054,2.475,2.391,0.642,0.729,1.684,0.374,2.37,2.725,1.085,1.085,1.085,0.626,7.859,6.826,1.244,0.961,0.831,0.741,1.72,2.657,3.432,12.855,30.134,8.186,5.056,5.207,0.818,2.875,8.001,1.999,8.78,0.663,2.93,,1.72,0.818,1.711,40.9,19.623,0.611,23.327,23.996,23.327,18.061,7.419,8.465,7.186,4.806,3.603,25.707,0.843,0.693,0.0,13.716,12.037,7.403,0.843
82,bansiwala,14.117,14.212,13.054,11.646,12.843,14.496,12.559,15.858,11.708,12.921,13.869,13.764,35.503,28.866,27.746,13.24,18.912,17.896,19.179,17.507,16.171,13.24,19.803,18.15,14.3,17.698,14.835,12.89,15.688,13.835,12.449,13.531,13.209,13.922,14.082,11.371,12.078,13.369,13.369,13.369,14.258,17.087,18.17,13.357,13.58,13.839,14.084,15.044,16.008,13.764,25.459,17.955,7.231,9.451,9.028,14.522,16.229,17.337,15.616,18.842,14.279,15.386,,15.044,14.522,15.256,27.245,6.611,14.115,9.895,10.448,9.895,4.529,6.297,5.41,6.547,8.925,10.113,12.186,14.212,14.368,13.716,0.0,6.547,6.314,14.212
83,manduwala,11.985,12.157,11.534,12.5,14.134,12.131,11.323,16.73,11.916,13.079,12.449,13.704,34.801,29.464,28.053,11.451,17.74,16.807,18.346,16.507,15.863,11.451,17.583,16.207,12.881,15.611,10.618,14.515,14.843,13.314,11.949,12.17,11.849,13.01,12.396,9.861,9.519,11.237,11.237,11.237,12.369,12.269,14.057,12.299,12.374,12.536,12.665,12.724,14.687,13.704,24.871,18.287,9.79,10.014,9.481,12.817,14.908,12.513,14.014,14.058,12.371,12.456,,12.724,12.817,13.748,30.313,9.001,12.173,12.831,15.624,12.831,8.569,6.527,5.201,6.387,7.932,9.039,15.214,12.157,12.723,12.037,6.547,0.0,6.528,12.157
84,prem nagar,7.821,7.909,6.742,6.154,7.707,8.223,6.262,10.484,5.825,7.058,7.57,7.824,29.546,23.468,22.183,6.928,12.708,11.699,13.065,11.326,10.186,6.928,13.489,11.84,8.004,11.384,9.263,8.03,9.518,7.72,6.301,7.233,6.908,7.702,7.769,5.06,5.937,7.084,7.084,7.084,7.946,11.774,12.345,7.097,7.301,7.551,7.787,8.757,9.744,7.824,19.487,23.331,3.554,3.665,3.144,8.21,9.967,12.012,9.315,13.404,7.968,9.207,,8.757,8.21,8.961,33.52,12.402,7.806,16.01,16.657,16.01,10.694,0.018,1.4,0.372,2.621,3.8,18.367,7.909,8.058,7.403,6.314,6.528,0.0,7.909
85,balliwala chowk,0.212,0.0,1.419,5.746,6.835,0.676,2.067,7.31,4.582,4.475,1.324,4.193,22.675,18.064,16.476,1.022,5.679,4.842,6.442,4.632,4.895,1.022,5.635,4.092,1.411,3.55,4.886,7.579,3.432,3.219,3.233,1.469,1.565,2.404,0.778,2.855,2.655,0.923,0.923,0.923,0.378,7.094,5.986,2.069,1.762,1.565,1.35,0.923,2.765,4.193,12.862,30.35,8.926,5.807,5.919,0.898,2.955,7.226,1.953,7.96,0.345,2.092,,0.923,0.898,1.809,41.331,19.985,0.241,23.723,24.553,23.723,18.497,7.926,8.889,7.666,5.289,4.142,26.114,0.0,0.946,0.843,14.212,12.157,7.909,0.0
