,name,clock tower,darshanlal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,asley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,ranipokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university/gehu,hathibadkala,garhi cant,vijay coloney,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna coloney,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikasnagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
20,rispana,5.102,4.895,4.637,4.75,4.436,5.441,4.634,2.927,4.463,3.263,3.843,2.407,19.373,13.634,12.19,4.959,3.272,2.419,3.124,2.023,0.0,4.959,5.823,4.368,3.544,4.558,9.724,4.994,1.499,2.551,3.948,3.996,4.254,2.949,4.21,6.076,7.094,5.511,5.511,5.511,4.522,11.689,9.963,3.667,3.7,3.656,3.69,5.16,2.537,2.407,9.312,33.503,9.365,6.721,7.163,3.999,2.504,11.779,3.312,12.191,4.551,6.533,,5.16,3.999,3.217,43.327,22.548,4.71,26.052,25.872,26.052,20.688,10.199,11.503,10.103,8.001,6.833,28.357,4.895,3.958,4.43,16.171,15.863,10.186,4.895
21,gujraunwala,1.006,1.022,0.525,4.948,6.188,1.55,1.131,7.057,3.75,3.855,1.119,3.756,23.351,18.427,16.887,0.0,6.29,5.374,6.945,5.102,4.959,0.0,6.57,4.963,1.489,4.468,5.241,6.925,3.618,2.842,2.456,0.995,0.859,2.108,0.945,1.869,2.153,0.677,0.677,0.677,1.019,7.634,6.8,1.52,1.327,1.305,1.298,1.938,3.248,3.756,13.446,29.564,7.916,4.806,4.902,1.376,3.465,7.791,2.571,8.659,1.04,2.931,,1.938,1.376,2.298,40.395,19.09,0.881,22.807,23.557,22.807,17.556,6.945,7.951,6.697,4.316,3.142,25.192,1.022,1.272,0.591,13.24,11.451,6.928,1.022
22,raipur chowk,5.761,5.635,6.755,9.806,10.053,5.497,7.288,8.636,8.984,8.165,5.989,7.376,17.672,14.641,12.876,6.57,3.087,3.489,4.079,3.829,5.823,6.57,0.0,1.732,5.586,2.105,8.124,10.696,5.046,6.717,7.781,6.329,6.636,6.252,5.725,8.438,8.123,6.531,6.531,6.531,5.551,8.836,6.303,6.628,6.348,6.064,5.787,4.906,4.172,7.376,8.568,35.856,13.965,10.882,11.136,5.288,4.001,8.803,4.276,8.491,5.532,5.216,,4.906,5.288,4.659,46.962,25.615,5.704,29.358,30.068,29.358,24.124,13.506,14.517,13.266,10.884,9.69,31.748,5.635,5.449,6.088,19.803,17.583,13.489,5.635
23,dobhal chowk,4.245,4.092,5.098,8.096,8.422,4.081,5.602,7.273,7.255,6.46,4.295,5.691,18.741,14.933,13.227,4.963,2.446,2.321,3.506,2.532,4.368,4.963,1.732,0.0,3.88,0.66,7.38,9.087,3.395,4.997,6.05,4.635,4.95,4.521,4.076,6.814,6.69,5.011,5.011,5.011,3.953,8.583,6.317,4.907,4.635,4.356,4.087,3.491,2.454,5.691,9.196,34.434,12.235,9.156,9.419,3.632,2.294,8.599,2.561,8.596,3.94,4.161,,3.491,3.632,2.94,45.346,24.052,4.125,27.769,28.377,27.769,22.507,11.857,12.909,11.63,9.252,8.042,30.151,4.092,3.783,4.446,18.15,16.207,11.84,4.092
24,6 no. pulia,1.603,1.411,1.353,4.719,5.605,2.046,1.742,5.9,3.658,3.272,0.444,2.857,21.937,16.939,15.398,1.489,4.875,3.927,5.477,3.634,3.544,1.489,5.586,3.88,0.0,3.514,6.296,6.346,2.144,1.881,2.323,0.772,1.102,1.071,0.669,3.091,3.636,1.973,1.973,1.973,1.035,8.478,7.203,1.079,0.77,0.48,0.222,1.992,1.816,2.857,11.993,30.919,8.437,5.322,5.554,0.619,2.041,8.603,1.321,9.266,1.072,3.376,,1.992,0.619,0.957,41.525,20.318,1.196,23.99,24.498,23.99,18.695,8.02,9.136,7.815,5.46,4.229,26.36,1.411,0.484,0.912,14.3,12.881,8.004,1.411
25,ring road,3.688,3.55,4.652,7.939,8.397,3.481,5.193,7.485,7.028,6.325,3.903,5.607,19.381,15.577,13.876,4.468,3.038,2.76,4.08,2.895,4.558,4.468,2.105,0.66,3.514,0.0,6.725,9.085,3.409,4.834,5.77,4.242,4.542,4.272,3.621,6.334,6.104,4.459,4.459,4.459,3.449,7.981,5.783,4.576,4.283,3.994,3.707,2.887,2.349,5.607,9.855,33.856,11.939,8.833,9.067,3.186,2.24,8.005,2.234,8.066,3.431,3.502,,2.887,3.186,2.62,44.863,23.534,3.607,27.267,27.97,27.267,22.024,11.401,12.418,11.162,8.78,7.585,29.655,3.55,3.349,3.983,17.698,15.611,11.384,3.55
26,post office nehru gram,4.695,4.886,5.75,10.0,11.385,4.288,6.231,12.191,8.79,9.083,6.147,8.979,25.775,22.282,20.594,5.241,9.677,9.106,10.646,9.033,9.724,5.241,8.124,7.38,6.296,6.725,0.0,12.111,8.23,8.033,7.625,6.174,6.098,7.24,5.645,5.765,3.978,4.565,4.565,4.565,5.263,2.618,3.454,6.748,6.508,6.385,6.218,4.588,7.342,8.979,16.546,28.693,11.727,9.039,8.873,5.754,7.473,2.832,6.489,4.143,5.228,3.335,,4.588,5.754,6.516,40.888,19.447,5.103,23.297,25.219,23.297,18.498,9.281,9.584,8.907,7.133,6.649,25.705,4.886,5.829,5.559,14.835,10.618,9.263,4.886
27,graphic era hill university/gehu,7.708,7.579,6.401,2.281,0.744,8.255,5.881,3.179,3.397,3.103,6.271,3.555,23.052,15.987,14.935,6.925,8.256,7.406,7.939,6.998,4.994,6.925,10.696,9.087,6.346,9.085,12.111,0.0,5.696,4.489,4.488,6.116,6.096,5.277,6.828,6.603,8.353,7.595,7.595,7.595,7.261,14.558,13.538,5.513,5.817,6.037,6.305,8.326,6.741,3.555,13.233,30.79,5.659,4.55,5.071,6.963,6.846,14.716,7.114,15.536,7.303,9.664,,8.326,6.963,6.795,39.459,19.494,7.338,22.679,21.743,22.679,17.364,8.034,9.419,8.134,7.005,6.389,24.859,7.579,6.807,6.756,12.89,14.515,8.03,7.579
28,hathibadkala,3.642,3.432,3.377,4.819,5.027,3.954,3.52,4.266,4.166,3.176,2.505,2.345,20.093,14.818,13.3,3.618,3.231,2.215,3.563,1.819,1.499,3.618,5.046,3.395,2.144,3.409,8.23,5.696,0.0,1.878,3.239,2.722,3.023,1.854,2.791,4.983,5.771,4.112,4.112,4.112,3.066,10.197,8.531,2.548,2.479,2.359,2.321,3.662,1.131,2.345,10.069,32.714,9.226,6.312,6.682,2.534,1.178,10.29,1.828,10.738,3.092,5.037,,3.662,2.534,1.718,42.924,21.919,3.262,25.51,25.643,25.51,20.166,9.532,10.764,9.387,7.142,5.922,27.849,3.432,2.513,3.054,15.688,14.843,9.518,3.432
29,garhi cant,3.383,3.219,2.391,3.106,3.753,3.886,2.195,4.218,2.307,1.501,1.902,0.978,21.832,16.168,14.739,2.842,5.106,4.091,5.354,3.688,2.551,2.842,6.717,4.997,1.881,4.834,8.033,4.489,1.878,0.0,1.422,1.865,2.002,0.818,2.442,3.577,4.822,3.498,3.498,3.498,2.866,10.312,9.082,1.334,1.529,1.66,1.878,3.873,2.545,0.978,11.778,30.996,7.365,4.436,4.815,2.5,2.72,10.445,2.69,11.144,2.907,5.252,,3.873,2.5,2.341,41.062,20.117,2.983,23.678,23.765,23.678,18.326,7.733,9.005,7.613,5.458,4.283,26.007,3.219,2.359,2.475,13.835,13.314,7.72,3.219
