,name,clock tower,darshan lal chowk,saharanpur chowk,isbt dehradun,graphic era hill university,astley hall,matawala bagh,daudwala,mathurawala,vishnupuram,bangali kothi,kargi chowk,rani pokhri,doiwala,lachiwala,kuanwala,harawala,miawala,mokampur,jogiwala,rispana,gujraunwala,raipur chowk,dobhal chowk,6 no. pulia,ring road,post office nehru gram,graphic era hill university (gehu),hathibadkala,garhi cantt,vijay colony,chir bagh,cm house,ongc chowk,ballupur chowk,gms road,rajender nagar,yamuna colony,bindal pul,kishan nagar,blood bank,supply,it park dehradun,nala paani chowk,shastdhara crossing,ladpur,fountain chowk rispana,fountain chowk,nehru colony,kargi,nakrounda more,naya gaon palio,badowala,telpur,mehuwala,race course,dharampur,mata mandir,balbir road,rajpur,great value,dilaram bazar,nanni bakery dehradun,survey chowk,dwarka store,araghar,kulhal,vikas nagar,tehsil,harbatpur chowk,langa road,shaspur,selaqui,sudhowala,nanda ki chowki,premnagar,panditwari,vasant vihar,selaqui chowk,baliwala chowk,bahuwala raja road,raja road,bansiwala,manduwala,prem nagar,balliwala chowk
20,rispana,4.0,1.0,69.0,7.0,9.0,7.0,0.0,16.0,0.0,4.0,N/A,3.0,28.0,15.0,15.0,8.0,4.0,14.0,N/A,1.0,0,419.0,883.0,0.0,7.0,4.0,3.0,9.0,11.0,8.0,N/A,4.0,4.0,3000.0,7.0,7.0,6.0,3.0,5.0,440.0,4.0,7.0,11.0,1.1,6.0,4.0,4.0,1.0,4.0,3.0,4.0,0.0,13.0,10.0,4.0,2.0,8.0,4.0,1.0,7.0,4.0,N/A,1.0,3.0,247.0,4.0,201.0,37.0,4.0,1.0,4.0,185.0,N/A,15.0,14.0,12.0,N/A,7.0,21.0,7.0,25.0,4.0,1.61,19.0,12.0,7.0
21,gujraunwala,1.0,419.0,69.0,5.0,9.0,718.0,419.0,419.0,419.0,N/A,5.0,4.0,28.0,20.0,6.0,11.0,10.0,13.0,7.0,5.0,4.0,0,1073.0,1.0,419.0,N/A,12.0,9.0,419.0,7.0,0.0,1.61,419.0,6.0,4.0,N/A,3.0,3.0,1400.0,440.0,419.0,419.0,3.0,1354.0,15.0,419.0,1.0,419.0,419.0,N/A,13.0,7.0,7.0,7.0,334.0,7.0,261.0,419.0,419.0,4.0,419.0,419.0,N/A,3.0,N/A,419.0,419.0,37.0,419.0,419.0,N/A,27.0,21.0,13.0,9.0,827.0,N/A,4.0,21.0,419.0,15.0,21.0,419.0,N/A,7.0,4.0
22,raipur chowk,3.0,1073.0,2.0,16.0,9.0,1104.0,3000.0,1073.0,1073.0,1073.0,4.0,N/A,28.0,20.2,6.0,11.0,11.0,10.0,7.0,5.0,4.0,73.0,0,1104.0,N/A,1073.0,7.0,8.0,1073.0,1.0,1073.0,1142.0,1073.0,15.0,9.0,3.0,1.0,9.0,1073.0,11.0,1073.0,1073.0,3.0,15.5,15.0,1.0,1.0,3.0,1073.0,10.0,3000.0,1.0,7.0,7.0,19.0,7.0,6.0,1073.0,1.0,4.0,1073.0,3.0,1104.0,N/A,247.0,1073.0,1073.0,234.0,1073.0,1073.0,1073.0,185.0,21.0,13.0,16.0,827.0,4.0,11.0,21.0,5.0,25.0,N/A,1.0,22.0,14.0,1073.0
23,dobhal chowk,238.0,4.0,69.0,5.0,9.0,3000.0,N/A,0.0,0.0,201.0,1.0,4.0,28.0,19.0,6.0,11.0,10.0,5.0,7.0,5.0,4.0,419.0,1073.0,0,N/A,3000.0,4.0,9.0,1.0,1.0,3000.0,1.0,0.0,6.0,N/A,1.0,N/A,3.0,1.0,1.0,237.0,N/A,3.0,N/A,15.0,6.0,3.0,3.0,N/A,4.0,1.0,N/A,7.0,N/A,334.0,N/A,1488.0,N/A,3.0,1.0,1.0,N/A,1.0,2.0,247.0,1.1,0.0,37.0,1.0,32.0,3000.0,27.0,21.0,11.0,9.0,285.0,83.0,4.0,21.0,3.0,15.0,3000.0,0.0,18.0,4.0,2.0
24,6 no. pulia,N/A,3000.0,69.0,5.0,N/A,3000.0,N/A,N/A,0.0,3000.0,4.0,4.0,N/A,20.0,6.0,11.0,15.0,N/A,7.0,5.0,4.0,419.0,1073.0,0.0,0,N/A,N/A,9.0,5.0,6.0,3000.0,0.0,3000.0,0.0,3.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,3.0,1.0,15.0,0.0,N/A,3000.0,4.0,3000.0,3000.0,N/A,7.0,7.0,5.0,0.0,243.0,3000.0,0.0,N/A,3000.0,N/A,N/A,3000.0,273.0,3000.0,0.0,37.0,3000.0,3000.0,3000.0,27.0,21.0,N/A,9.0,7.0,83.0,446.0,20.0,13.0,19.0,0.0,3000.0,16.0,285.0,4.0
25,ring road,1.0,201.0,69.0,5.0,9.0,1.0,0.0,N/A,399.0,201.0,5.0,4.0,28.0,19.0,7.0,11.0,10.0,13.0,7.0,5.0,788.0,N/A,1073.0,N/A,0.0,0,7.0,9.0,N/A,10.0,N/A,1.0,0.0,6.0,3.0,3.0,3.0,3.0,1400.0,238.0,201.0,201.0,3.0,1.9,15.0,7.0,N/A,3.0,1.0,4.0,3000.0,N/A,7.0,7.0,334.0,14142.0,189.0,8.0,237.0,4.0,201.0,1.1,1.0,2.0,247.0,1.0,201.0,37.0,N/A,3000.0,3000.0,27.0,21.0,13.0,9.0,285.0,N/A,1.0,21.0,4.0,21.0,237.0,N/A,16.0,4.0,0.9
26,post office nehru gram,6.0,N/A,67.0,13.0,8.0,201.0,N/A,201.0,373.0,201.0,4.0,4.0,N/A,19.0,21.0,11.0,4.0,2.0,7.0,5.0,4.0,419.0,1073.0,5.0,N/A,N/A,0,9.0,1.7,40.0,N/A,1.0,201.0,5.0,11.0,3.0,0.8,3.0,1.0,2.0,201.0,7.0,3.0,N/A,1.0,5.0,3.0,3.0,7.0,11.0,201.0,7.0,7.0,7.0,5.0,7.0,243.0,163.0,N/A,4.0,N/A,N/A,4.1,5.0,273.0,1.6,201.0,N/A,10.0,201.0,30.0,27.0,21.0,15.0,9.0,827.0,N/A,4.0,21.0,11.0,20.0,1.0,1.0,34.0,N/A,11.0
27,graphic era hill university (gehu),7.0,9.0,N/A,9.0,N/A,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,N/A,9.0,9.0,9.0,9.0,N/A,9.0,9.0,9.0,9.0,10.0,9.0,9.0,N/A,9.0,N/A,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,N/A,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,30.0,9.0,9.0,N/A,9.0,9.0,9.0,9.0,10.0,9.0
28,hathibadkala,5.0,N/A,69.0,4.0,9.0,1.0,1.0,0.0,0.0,201.0,5.0,4.0,28.0,24.0,6.0,11.0,10.0,13.0,7.0,N/A,4.0,419.0,1073.0,201.0,1.0,0.0,11.0,10.0,0,3.0,1.0,N/A,5.0,6.0,7.0,N/A,3.0,3.0,N/A,1.0,N/A,5.0,3.0,1.0,15.0,0.0,7.0,7.0,7.0,1.61,0.0,1.0,7.0,13.0,334.0,6.0,243.0,8.0,3.0,N/A,5.0,1.0,1.0,3.0,273.0,N/A,0.0,37.0,5.0,32.0,1.0,185.0,21.0,13.0,14.0,11.0,83.0,9.0,21.0,0.8,15.0,1.0,9.0,19.0,267.0,0.8
29,garhi cantt,5.0,0.8,N/A,10.0,9.0,2.0,1.0,201.0,N/A,7.0,4.0,N/A,28.0,20.0,6.0,11.0,5.0,13.0,7.0,5.0,8.0,12.0,1073.0,5.0,6.0,10.0,3.8,10.0,N/A,0,1.8,N/A,7.0,0.9,6.0,N/A,0.9,1.0,1.0,6.0,7.0,7.0,7.0,1.0,8.0,7.0,1.0,1.0,26.0,9.0,N/A,7.0,7.0,7.0,334.0,6.0,243.0,7.0,3.0,5.0,7.0,3.0,7.0,1.0,247.0,6.0,1.61,37.0,7.0,32.0,3000.0,7.0,21.0,13.0,7.4,11.0,N/A,N/A,N/A,0.6,25.0,1.0,13.0,16.0,11.0,4.0
